,sigma,env: rf,env: S0
2019-10-18,0.006057456619254054,6.884617270408455e-05,2986.2
2019-10-25,0.006049231309780906,6.806604185438658e-05,3022.55
2019-11-01,0.00554888821531588,6.221018650132137e-05,3066.91
2019-11-08,0.005540949908707242,6.142875511461199e-05,3093.08
2019-11-15,0.005405000368646856,6.260084472953231e-05,3120.46
2019-11-22,0.005403501456082596,6.221018650132137e-05,3110.29
2019-11-29,0.005403512255537544,6.377258964507249e-05,3140.98
2019-12-06,0.0053995211326388305,5.986543241132125e-05,3145.91
2019-12-13,0.0053995094837423286,6.10379819414586e-05,3168.8
2019-12-20,0.005286901166752768,6.18194899655311e-05,3221.22
2019-12-27,0.005286820776271631,6.142875511461199e-05,3240.02
