,sigma,theta,nu,env: rf,env: S0
2023-07-14,0.006465276007003164,7.713769791698544e-05,0.7729018050653569,0.00020759209831888725,4505.42
2023-07-21,0.007718659732898713,-2.535855422623108e-05,0.7729578319076356,0.0002098515379793664,4536.34
2023-07-28,0.005739284175815154,3.439386055782793e-05,0.7729013308549243,0.0002113571196757924,4582.23
2023-08-04,0.006585646511001927,0.00015532988127444332,0.7730206540121197,0.00021399051964765547,4478.03
2023-08-11,0.006151263829200195,0.00012250028968897872,0.772503201840846,0.00021399051964765547,4464.05
2023-08-18,0.007218209556547226,3.172749461209908e-05,0.7719425902204371,0.0002136144261815076,4369.71
2023-08-25,0.008526148619688584,0.00012503138070087098,0.7729713690488346,0.00021474260011022928,4405.71
2023-09-01,0.00725547697060338,7.219956109712214e-05,0.7718909512479303,0.0002128621327464053,4515.77
2023-09-08,0.007172727291779964,0.00019953672973581962,0.7729215147156814,0.0002132382972168667,4457.49
2023-09-15,0.005587598342726354,0.00010388760814915899,0.7727440057712689,0.0002128621327464053,4450.32
2023-09-22,0.007143972829777759,8.143006341448276e-05,0.7727015921069976,0.0002132382972168667,4320.06
2023-09-29,0.007584146907785656,-0.00017893679568917482,0.7725767209330979,0.00021436657762152755,4288.05
2023-10-06,0.008970839642171779,4.893759708054554e-05,0.7729528721328475,0.00021587045473081545,4308.5
2023-10-13,0.006941635242780619,0.00010231831862195229,0.7729634797935659,0.00021624633534500504,4327.78
2023-10-20,0.007692143680044149,0.00035592781446880845,0.7727037022612726,0.00021474260011022928,4224.16
2023-10-27,0.008305184535726446,0.0002516775116485699,0.7596576697594205,0.00021511858712019993,4117.37
2023-11-03,0.006105433424614472,0.0001334700056184676,0.7730476564507295,0.0002136144261815076,4358.34
2023-11-10,0.012048354994729928,1.2047243175730888e-05,0.7728702088055246,0.0002136144261815076,4415.24
2023-11-17,0.006041942828318595,0.00013799166686946014,0.7726256544066334,0.0002132382972168667,4514.02
2023-11-24,0.007158989343962531,0.00010853741606620137,0.7728651853774691,0.00021436657762152755,4559.34
2023-12-01,0.006389136926656912,2.607689009763894e-05,0.7726458458479063,0.00021436657762152755,4594.63
2023-12-08,0.005543543169715188,6.293692757984117e-05,0.7726509047007125,0.00021399051964765547,4604.37
2023-12-15,0.01060118099892536,-0.0001319839712440247,0.7726666484522866,0.00021399051964765547,4719.19
2023-12-22,0.006504873452684615,4.0039429736956964e-05,0.7726472946752043,0.00021399051964765547,4754.63
2023-12-29,0.00633289881987169,4.76489368357675e-05,0.772254744414972,0.00021624633534500504,4769.83
2024-01-05,0.005859620520832205,6.0747605986941555e-05,0.7726756352510822,0.00021399051964765547,4697.24
2024-01-12,0.006415150880374201,6.295352142942181e-05,0.7728945678444908,0.00021436657762152755,4783.83
2024-01-19,0.007188250235353958,3.682202914613826e-05,0.7729462122903681,0.00021399051964765547,4839.81
2024-01-26,0.005856039744549368,3.555548354209883e-05,0.7727932438666565,0.00021399051964765547,4890.97
2024-02-02,0.010571483379726014,7.116625428267206e-05,0.7005966931527032,0.00021210969726248585,4958.61
2024-02-09,0.005391946782263398,4.346113890973e-05,0.7727668547994778,0.00021210969726248585,5026.61
2024-02-16,0.006131391854736373,8.97851094747803e-05,0.7707154418273613,0.00021173342623526104,5005.57
2024-02-23,0.007521337980978272,8.449009983380264e-05,0.7730021993101843,0.00021210969726248585,5088.8
2024-03-01,0.0061597324489615505,3.123982835674679e-05,0.7709904126512896,0.00021399051964765547,5137.08
2024-03-08,0.005823460609566857,0.00010906097167703568,0.7728049050553397,0.0002128621327464053,5123.69
2024-03-15,0.008071306806500124,4.165601347415698e-05,0.7729437845611493,0.0002132382972168667,5117.09
2024-03-22,0.006224762584615724,6.429524707811446e-05,0.7728048265005734,0.0002128621327464053,5234.18
2024-04-05,0.006793287867716745,5.513304235925983e-05,0.7729131646209632,0.0002113571196757924,5204.34
2024-04-12,0.006934355486854445,9.474923248857091e-05,0.7725482925135935,0.00021173342623526104,5123.41
2024-04-19,0.007916080900047098,8.345315157573948e-05,0.7726333251124614,0.00021210969726248585,4967.23
2024-04-26,0.007140622850837027,0.00035220169686732373,0.7194421899497113,0.00021173342623526104,5099.96
2024-05-03,0.006262916350690905,8.037587843927757e-05,0.7716938380469905,0.0002128621327464053,5127.79
2024-05-10,0.005521712953977282,4.020575961343033e-05,0.7728904849808436,0.0002128621327464053,5222.68
2024-05-17,0.006011816235124667,4.191358384656602e-06,0.7727689577425503,0.00021248593276390615,5303.27
2024-05-24,0.005060318784009525,-2.5864113232748436e-05,0.7726709379815537,0.00021474260011022928,5304.72
2024-05-31,0.0057412099342168815,0.0001569643394295057,0.77269957351315,0.00021173342623526104,5277.51
2024-06-07,0.005516927396413961,3.653913200169946e-05,0.7718629450213983,0.0002113571196757924,5346.99
2024-06-14,0.005696455263011772,2.2729851541058907e-05,0.7727675809720046,0.0002113571196757924,5431.6
2024-06-21,0.006852432857288926,6.505738583141736e-05,0.772820747433911,0.00020947505365698227,5464.62
2024-06-28,0.005333855119871671,0.0002522720679944038,0.7728804660375642,0.0002113571196757924,5460.48
2024-07-05,0.004919560848408402,0.00019285722453113996,0.7728057250975862,0.00021173342623526104,5567.19
2024-07-12,0.005358821166753472,0.00011618944778383705,0.7729320122024317,0.0002113571196757924,5615.35
2024-07-19,0.005705396622272077,0.00028225873012882705,0.7672265684685059,0.00021173342623526104,5505.0
2024-07-26,0.007257062428857306,6.152612029388333e-05,0.772940868040217,0.00021210969726248585,5459.1
2024-08-02,0.008279598470932853,0.00025296216198500616,0.7725499817761353,0.00021399051964765547,5346.56
2024-08-09,0.007203204433181506,8.067869606376597e-05,0.772639787397293,0.00021399051964765547,5344.16
2024-08-16,0.005742255540936079,9.214537410494932e-06,0.7726624253471606,0.0002136144261815076,5554.25
2024-08-23,0.0071099498543008,4.5004105572915717e-05,0.7728359936593266,0.0002128621327464053,5634.61
2024-08-30,0.005555240543443297,2.640168385122911e-05,0.7726431987804995,0.00020909853376172016,5648.4
2024-09-06,0.008022789427757443,-0.00011328617164923626,0.7701291676201133,0.0002042005349363052,5408.42
2024-09-13,0.007698657046453351,4.9594137560592935e-05,0.7729900671051481,0.00019929650834193957,5626.02
2024-09-20,0.005797903457214214,6.523970540228569e-05,0.7694148838284399,0.00018871344643711652,5702.55
2024-09-27,0.006583855369329614,0.00013614948240366605,0.7670740795069583,0.00018984869126059678,5738.17
2024-10-04,0.0063925214639695095,0.00012070702105627961,0.7728615232631642,0.00019400849074457938,5751.07
2024-10-11,0.006875284571354011,9.087106735839453e-05,0.7729330872462493,0.00019249633877160832,5815.03
2024-10-18,0.006132263459172613,0.0010911278018530303,0.7728099529742708,0.0001906053415035025,5864.67
2024-10-25,0.006891174347715548,0.0008926445771031922,0.7727155691209572,0.00018947031225424737,5808.12
2024-11-01,0.008123905169669154,2.1092921186130164e-05,0.7675411372812224,0.00018416923014275,5728.8
2024-11-08,0.005720947278034856,9.083849304097565e-05,0.7727444244148998,0.0001822742761612428,5995.54
2024-11-15,0.006086086602364773,8.655989794885059e-05,0.7728994315842744,0.0001822742761612428,5870.62
