,mu,omega,alpha[1],beta[1]
2022-07-27,0.0141587072270845,0.021403165775138386,0.08530439487772741,0.9083348049037281
2022-07-28,0.017519444973337482,0.02403450168197388,0.09098920323353815,0.9007984126048578
2022-07-29,0.014788915244105564,0.025174019505634318,0.09273347641868848,0.8983274334844986
2022-08-01,0.024531430771336366,0.027545432779145448,0.09630017247951098,0.8928577947003687
2022-08-02,0.02689890329563825,0.03012039646685388,0.10068220184446687,0.8864831517053585
2022-08-03,0.0186586610332399,0.02950821241126889,0.09888039578353931,0.8891668765071818
2022-08-04,0.02830747983765061,0.03234478788235788,0.1028614821263755,0.8829927665949991
2022-08-05,0.020516052193354384,0.03461893124015702,0.10607409675705726,0.8780811044427648
2022-08-08,0.019520380080288998,0.03761948323624461,0.10983368092537125,0.8719037979376576
2022-08-09,0.02114185666238746,0.04067931838097155,0.11399206746787001,0.8654000523664136
2022-08-10,0.02414207287112543,0.0365832563880235,0.10239929595033535,0.8804359471094118
2022-08-11,0.02414021258025813,0.03839398711841468,0.10418795807447441,0.8769794407638469
2022-08-12,0.023675437989857183,0.038360745533771834,0.10325046376741961,0.8784805152817691
2022-08-15,0.02534504800201443,0.0399738743298241,0.10498902120734065,0.8752695920536098
2022-08-16,0.02595662271656377,0.04178402942430519,0.10746730908417977,0.871219650243733
2022-08-17,0.03188677515765644,0.04264717378399988,0.10840364859768754,0.8695924901315882
2022-08-18,0.05074166587505474,0.04362300305321938,0.11088941914212237,0.866646805423666
2022-08-19,0.04219774746086957,0.04413123393169891,0.10980924338420679,0.8676573947555843
2022-08-22,0.023472559101447667,0.04178878628949999,0.10422018614568135,0.8761334974004801
2022-08-23,0.011695335458957753,0.04171706411665628,0.10273235418394396,0.8773711537856906
2022-08-24,0.010514469292783811,0.04328838848316553,0.10267197303687683,0.8758951091539781
2022-08-25,0.013353651449741811,0.044799782811047,0.1031046118164303,0.8747574502223655
2022-08-26,0.007942268226542325,0.0454682914377663,0.10493629884945753,0.8765841314919612
2022-08-29,-0.006215235674115486,0.044882102507216845,0.1017034859667426,0.8797788825685094
2022-08-30,-0.014959013894576541,0.045575686956920804,0.09908914815885694,0.881507832476804
