,mu,omega,alpha[1],gamma[1],beta[1]
2023-01-11,0.05306470284520894,0.04835689617634172,0.10128653470831665,0.21547829829300866,0.7736181601267057
2023-01-12,0.0528422931241261,0.04828772582238573,0.10023083339492361,0.21604613789516822,0.7740986933919317
2023-01-13,0.05246996374500176,0.04820871297404325,0.09958429940007517,0.2164008254836629,0.774403532281599
2023-01-17,0.05179052806648177,0.048113709589757,0.09893497171464423,0.21701564129731282,0.7746575453197087
2023-01-18,0.05002353179375959,0.04741505134747738,0.09803463464127535,0.2119975850137373,0.7783348893174528
2023-01-19,0.04910883633188286,0.0470832426052331,0.09737303131217216,0.21025797768994087,0.779702220982074
2023-01-20,0.050032545473173845,0.04684385684199357,0.09731507652110301,0.2103699400954668,0.7800284065963893
2023-01-23,0.05025585727113275,0.046490510854557465,0.09676512885247528,0.20858984427178498,0.7812528174932053
2023-01-24,0.04987255931317983,0.04618629732190873,0.09548601114642166,0.20714898556133005,0.7827641945439213
2023-01-25,0.04979645017934802,0.04592957355087376,0.09455896697663234,0.20570721030549716,0.7839050787166368
2023-01-26,0.05070095170555929,0.04566984613003473,0.09463451330209034,0.20346570223322374,0.7846926843045252
2023-01-27,0.05104637091611787,0.04558109843174955,0.09424818544890506,0.2026009445428893,0.7850322724821567
2023-01-30,0.049753121574439514,0.045404983239339856,0.094271076932091,0.2002480431804051,0.7862503549442008
2023-01-31,0.050899644146196577,0.04542724486905577,0.09506676998032396,0.19928046010699826,0.7858616978567029
2023-02-01,0.051698884448343176,0.045412177882968904,0.09537792032348832,0.19812495433055088,0.7858652788768348
2023-02-02,0.05294777351503345,0.04557063293651852,0.09702889207472719,0.19680641508915941,0.7848210562134921
2023-02-03,0.052729166793667605,0.04580169483176022,0.09789612417212976,0.19647150555381648,0.7839690332430816
2023-02-06,0.05237898760902834,0.045400858486294986,0.09666076634344788,0.19365417798595064,0.7861346214646726
2023-02-07,0.053046780890881405,0.043905242570065416,0.09484085532963532,0.18873146888928305,0.791340847497823
2023-02-08,0.05187357644882611,0.044124485689642924,0.09319291992482424,0.19171104992802776,0.7912998222699513
2023-02-09,0.05179868622519675,0.04458898652497728,0.0947035815587687,0.19307654687419024,0.7890718098913015
2023-02-10,0.0545981389383403,0.044087664322607,0.09485885394213205,0.19352171541831417,0.7898888217108524
