,mu,omega,alpha[1],beta[1],nu
2024-05-20,0.11815585280097446,0.03334506395592231,0.16591135463386988,0.8186225216909541,7.697406574579731
2024-05-21,0.11938266559062849,0.03319392654567643,0.16661091440495956,0.8182022409786507,7.6404320507616665
2024-05-22,0.11810685344952852,0.033077344349792856,0.16683903075302745,0.8180823607591547,7.632518756024459
2024-05-23,0.11698509765386154,0.03333690859657085,0.1660934899794468,0.8183338534436473,7.703213545961027
2024-05-24,0.1187706480051473,0.03339098488597259,0.16602192753168443,0.8185236543115468,7.652942429297576
2024-05-28,0.11874529004191631,0.03310517622188597,0.16643927984319612,0.8182666038545917,7.661087328594696
2024-05-29,0.11823110527734598,0.03334534229875019,0.1658463890402379,0.8185985691702098,7.668701049433777
2024-05-30,0.11799470352452959,0.033402602598958914,0.1657434790716901,0.8186246884761995,7.672129657205689
2024-05-31,0.11872242225732053,0.03363062437879059,0.16686516708687035,0.8173106117147376,7.737918167636804
2024-06-03,0.12025431887736267,0.03288062679745971,0.16468219287165559,0.8200004043804081,7.609245932770442
2024-06-04,0.12043232117419524,0.03277376931082602,0.1655731279195185,0.8192174942232416,7.616271207053129
2024-06-05,0.12166805033916782,0.032561291879983016,0.1637995283948238,0.8211985276047081,7.747871824514474
2024-06-06,0.1206319757783322,0.03229297442658809,0.1631972308460132,0.8219727941129553,7.703782643080674
2024-06-07,0.11950975604432512,0.03212168687661087,0.16307067095138683,0.822198446426536,7.683892379241079
2024-06-10,0.11839891174989044,0.03199478225917111,0.16347798135329975,0.8222099683185642,7.621394859362697
2024-06-11,0.1180076259567969,0.031853802694151154,0.16363573920358512,0.822173450504969,7.604608252362552
2024-06-12,0.11934501515982572,0.03215012325562534,0.16334867758501107,0.8220485490027857,7.653276714405332
2024-06-13,0.12033587794092494,0.0319050317911962,0.16350978960651466,0.8221160031534663,7.625666156577915
2024-06-14,0.11968535193685016,0.03165890825006087,0.16384926075307185,0.8220092582417035,7.6184537616628925
2024-06-17,0.12106019265870777,0.03190832178635162,0.16402790870934764,0.8215647075155287,7.651236785071174
2024-06-18,0.12147761094517048,0.03168925839241873,0.16471110522600255,0.8211418162121467,7.638730831290298
2024-06-20,0.11974750356136142,0.031500536267604344,0.16454352497527513,0.8215596866993783,7.61772679127852
2024-06-21,0.11895749201185676,0.03136804468638001,0.16520531091098198,0.8210734038317339,7.624851432536439
2024-06-24,0.11682759254754094,0.03125194610388377,0.16501422584083503,0.8214401501858983,7.613402731401342
2024-06-25,0.11790116925801185,0.031128300341246213,0.16576836404886972,0.8209129385086296,7.60354763144439
2024-06-26,0.11854432801730869,0.03085547929481868,0.16672561820563267,0.8204103681624296,7.573734942095764
2024-06-27,0.12037936373631178,0.030327862873051597,0.16768574050448148,0.8205091338829653,7.48767642583895
2024-06-28,0.11915693597589126,0.03067879148012547,0.16750348678445726,0.8202179633416878,7.529078079052751
2024-07-01,0.1188581450223516,0.030342772685739167,0.1678496570520492,0.8202722133600926,7.507452970725298
2024-07-02,0.11927841137519199,0.0305675176997184,0.16790178323848687,0.8200054893317168,7.5186014695695285
2024-07-03,0.11930147717937502,0.03047641832203058,0.16801737058969127,0.8200928186515933,7.500690449617376
2024-07-05,0.12005418612619452,0.030468328254578736,0.16795165683455957,0.8200958250814688,7.510243680550736
2024-07-08,0.11950705328001184,0.02994212596613738,0.1679047355381021,0.8207800685400294,7.461618727935977
2024-07-09,0.12022944191454675,0.029335122610021715,0.1677543957107816,0.821529017181079,7.427577602768472
2024-07-10,0.12222399832200462,0.030583066430875175,0.16715243155498957,0.820849456083855,7.447038403208916
